# convert to csv using
# 1. ANSI encoding for english.
# 2. Use comma as delimiter.
# 3. Treat double quotes as text.
# 4. This file should be in the same place where mama.properties is.
#
# mapping schema
# field_fid: The field FID
# field_acronym: The field name that comes from Bloomberg subscriber
# mama_field_name: The mama mapped field name
# mama_fid: The mama mapped fid (field ID)  should be above specific number if the field is shown but not supported by mama client
# mama_field_type: The mama mapped field type. If empty, then a default Bloomberg to mama type mappings is used
# field_description: The field display name that comes from Bloomberg subscriber
#
"remark","field_fid","field_acronym","mama_field_name","mama_fid","mama_field_type","field_description"
"#remarked line",,,,,,
,3,"DSPLY_NAME","wSymbol",470,"MAMA_FIELD_TYPE_STRING","symbol name"
,6,"TRDPRC_1","wLastPrice",2663,"MAMA_FIELD_TYPE_F64","Last Trade/Last Price"
,22,"BID","wBidPrice",237,"MAMA_FIELD_TYPE_F64","Bid Price - Realtime"
,25,"ASK","wAskPrice",109,"MAMA_FIELD_TYPE_F64","Ask Price - Realtime"
#,,"VOLUME","wVolume",2664,"MAMA_FIELD_TYPE_I64","Volume - Realtime"
#,,"HIGH","wHighPrice",278,"MAMA_FIELD_TYPE_F64","High Price - Realtime"
#,,"LOW","wLowPrice",327,"MAMA_FIELD_TYPE_F64","Low Price - Realtime"
,362,"BID_YIELD","wBidYield",1430,"MAMA_FIELD_TYPE_F64","Bid Yield"
,363,"ASK_YIELD","wAskYield",1431,"MAMA_FIELD_TYPE_F64","Ask Yield"
,64,"OPINT_1","wOpenInterest",406,"MAMA_FIELD_TYPE_I32","Open Interest (Realtime)"
#,,"BEST_BID","wBestBid",2293,"MAMA_FIELD_TYPE_F64","Best Bid"
#,,"BEST_ASK","wBestAsk",2295,"MAMA_FIELD_TYPE_F64","Best Ask"
#,,"MID","wMidPrice",537,"MAMA_FIELD_TYPE_F64","Mid Price"
#,,"OPEN","wOpenPrice",407,"MAMA_FIELD_TYPE_F64","Open Price - Realtime"
#,,"VWAP","wVwap",494,"MAMA_FIELD_TYPE_F64","VWAP-Volume Weighted Average Price"
#,,"THEO_PRICE","wTheoreticalPrice",3593,"MAMA_FIELD_TYPE_F64","Theoretical Price"
#,,"RT_OPEN_INT_DT","wOpenInterestDate",1807,"MAMA_FIELD_TYPE_TIME","Open Interest Date"
#,,"PREV_TRADING_DT_REALTIME","wPrevTradingDate",1812,"MAMA_FIELD_TYPE_TIME","Previous Trading Date (Realtime)"
#,,"EVENT_TIME","wEventTime",1696,"MAMA_FIELD_TYPE_TIME","Event Time"
#,,"BEST_BID1","wBestBidPrice1",172,"MAMA_FIELD_TYPE_F64","Best Bid 1"
#,,"BEST_BID2","wBestBidPrice2",183,"MAMA_FIELD_TYPE_F64","Best Bid 2"
#,,"BEST_BID3","wBestBidPrice3",194,"MAMA_FIELD_TYPE_F64","Best Bid 3"
#,,"BEST_BID4","wBestBidPrice4",196,"MAMA_FIELD_TYPE_F64","Best Bid 4"
#,,"BEST_BID5","wBestBidPrice5",197,"MAMA_FIELD_TYPE_F64","Best Bid 5"
#,,"BEST_ASK1","wBestAskPrice1",112,"MAMA_FIELD_TYPE_F64","Best Ask 1"
#,,"BEST_ASK2","wBestAskPrice2",123,"MAMA_FIELD_TYPE_F64","Best Ask 2"
#,,"BEST_ASK3","wBestAskPrice3",134,"MAMA_FIELD_TYPE_F64","Best Ask 3"
#,,"BEST_ASK4","wBestAskPrice4",136,"MAMA_FIELD_TYPE_F64","Best Ask 4"
#,,"BEST_ASK5","wBestAskPrice5",137,"MAMA_FIELD_TYPE_F64","Best Ask 5"
#,,"BEST_BID1_SZ","wBestBidSize1",202,"MAMA_FIELD_TYPE_I64","Best Bid 1 Size"
#,,"BEST_BID2_SZ","wBestBidSize2",213,"MAMA_FIELD_TYPE_I64","Best Bid 2 Size"
#,,"BEST_BID3_SZ","wBestBidSize3",224,"MAMA_FIELD_TYPE_I64","Best Bid 3 Size"
#,,"BEST_BID4_SZ","wBestBidSize4",226,"MAMA_FIELD_TYPE_I64","Best Bid 4 Size"
#,,"BEST_BID5_SZ","wBestBidSize5",227,"MAMA_FIELD_TYPE_I64","Best Bid 5 Size"
#,,"BEST_ASK1_SZ","wBestAskSize1",142,"MAMA_FIELD_TYPE_I64","Best Ask 1 Size"
#,,"BEST_ASK2_SZ","wBestAskSize2",153,"MAMA_FIELD_TYPE_I64","Best Ask 2 Size"
#,,"BEST_ASK3_SZ","wBestAskSize3",164,"MAMA_FIELD_TYPE_I64","Best Ask 3 Size"
#,,"BEST_ASK4_SZ","wBestAskSize4",166,"MAMA_FIELD_TYPE_I64","Best Ask 4 Size"
#,,"BEST_ASK5_SZ","wBestAskSize5",167,"MAMA_FIELD_TYPE_I64","Best Ask 5 Size"
#,,"OPEN_YLD","wOpenYield",1616,"MAMA_FIELD_TYPE_F64","Open Yield"
#,,"HIGH_YLD","wHighYield",1474,"MAMA_FIELD_TYPE_F64","High Yield"
#,,"LOW_YLD","wLowYield",1475,"MAMA_FIELD_TYPE_F64","Low Yield"
#,,"LAST_YLD","wLastYield",3527,"MAMA_FIELD_TYPE_F64","Last Yield"
#,,"LAST2_YLD","wLastYield2",3528,"MAMA_FIELD_TYPE_F64","Last 2 Yield"
#,,"PREV_CLOSE_VALUE_REALTIME","wClosePrice",242,"MAMA_FIELD_TYPE_F64","Previous Closing Value"
#,,"SIZE_LAST_TRADE","wLastTradeSize",1793,"MAMA_FIELD_TYPE_I32","Size of Last Trade"
,31,"ASK_SIZE","wAskSize",110,"MAMA_FIELD_TYPE_I64","The number of shares, lots, or contracts willing to sell at the Ask price"
#,,"BEST_ASK6","wBestAskPrice6",138,"MAMA_FIELD_TYPE_F64","Best Ask 6"
#,,"BEST_ASK7","wBestAskPrice7",139,"MAMA_FIELD_TYPE_F64","Best Ask 7"
#,,"BEST_ASK8","wBestAskPrice8",140,"MAMA_FIELD_TYPE_F64","Best Ask 8"
#,,"BEST_ASK9","wBestAskPrice9",141,"MAMA_FIELD_TYPE_F64","Best Ask 9"
